field_name,valor,n
Id,373655,2
Id,351932,2
Id,351664,2
Id,329941,2
Id,329673,2
Id,307950,2
Id,307682,2
Id,285959,2
Id,285691,2
Id,263968,2
Id,263700,2
Id,241977,2
Id,241709,2
Id,219986,2
Id,219718,2
Id,197995,2
Id,197727,2
Id,176004,2
Id,175736,2
Id,154013,2
Id,153745,2
Id,132022,2
Id,131754,2
Id,110031,2
Id,109763,2
Id,88040,2
Id,87772,2
Id,66049,2
Id,65781,2
Id,44058,2
Id,43790,2
Id,22067,2
Id,21799,2
Id,76,2
Id_Origen,204153,37
Id_Origen,203426,37
Id_Origen,201182,37
Id_Origen,211708,36
Id_Origen,204586,22
Id_Origen,204536,22
Id_Origen,204496,22
